Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
22,1,1,1.0,208,2100000,24,0,1997.0
21,1,0,12345.0,46,340000,24,0,1998.0
21,1,4,94000.0,29,535000,24,0,2010.0
22,1,4,100000.0,91,1430000,24,0,2013.0
22,1,4,80000.0,93,1620000,24,0,2012.0
22,0,4,10241.0,93,2900000,24,0,2017.0
21,1,0,83000.0,29,490000,24,0,2009.0
22,1,4,78000.0,200,770000,24,0,2006.0
8,1,4,1.0,77,490000,24,0,1997.0
8,1,0,170000.0,75,160000,24,0,1984.0
21,1,4,200000.0,29,425000,24,0,2005.0
6,1,4,100000.0,66,180000,24,0,1988.0
15,1,4,82000.0,197,520000,24,0,1995.0
21,1,0,10000.0,173,400000,24,0,1990.0
21,1,0,10000.0,156,175000,24,0,1989.0
10,1,0,123456.0,81,120000,24,0,2001.0
8,1,0,99000.0,75,685000,24,0,2005.0
21,1,0,88000.0,29,465000,24,0,2007.0
22,1,4,75000.0,89,1190000,24,0,2010.0
17,1,4,124000.0,194,850000,24,0,2010.0
21,1,0,76000.0,100,370000,24,0,2002.0
16,0,4,47000.0,104,1175000,24,0,2013.0
21,1,0,98000.0,178,165000,24,0,1991.0
21,1,4,1000.0,29,420000,24,0,2006.0
21,1,3,786.0,61,130000,24,0,1982.0
21,1,0,70.0,100,415000,24,0,2004.0
21,1,0,99999.0,178,185000,24,0,1997.0
21,1,0,1.0,98,400000,24,0,2002.0
21,1,4,100000.0,100,360000,24,0,2001.0
22,0,4,69000.0,275,1150000,24,0,2003.0
21,0,0,65000.0,178,265000,24,0,2005.0
21,0,0,73000.0,179,435000,24,0,2009.0
21,1,0,56.0,100,780000,24,0,2011.0
22,1,4,190.0,93,875000,24,0,2004.0
22,1,0,65000.0,91,1260000,24,0,2013.0
21,1,4,65000.0,100,840000,24,0,2013.0
21,1,4,5458.0,40,380000,24,0,2001.0
21,1,4,90000.0,29,340000,24,0,2007.0
8,0,4,95000.0,80,1070000,24,0,2007.0
6,1,0,100.0,66,155000,24,0,1984.0
22,1,1,134000.0,85,1080000,24,0,2010.0
21,1,0,1.0,46,290000,24,0,1993.0
22,1,4,123456.0,90,570000,24,0,1998.0
22,1,4,92000.0,256,4150000,24,0,2007.0
21,1,0,1.0,121,90000,24,0,1988.0
21,0,4,36000.0,179,590000,24,0,2015.0
22,1,4,85010.0,89,916000,24,0,2004.0
6,0,4,153736.0,101,535000,24,0,2006.0
21,1,0,17000.0,178,110000,20,0,1991.0
8,1,4,100000.0,72,765000,24,0,2004.0
21,1,0,17000.0,178,110000,20,0,1991.0
22,1,4,130000.0,209,1150000,24,0,2003.0
21,1,4,150000.0,29,410000,24,0,2007.0
22,1,4,55000.0,89,1890000,24,0,2016.0
6,1,4,102000.0,182,785000,24,0,2011.0
21,1,4,1700000.0,178,270000,24,0,2006.0
22,1,0,100000.0,250,150000,24,0,1987.0
1,1,0,53524.0,4,550000,24,0,1997.0
22,1,1,40000.0,138,3850000,24,0,2013.0
21,1,4,90000.0,179,490000,24,0,2012.0
17,1,1,38000.0,194,4500000,24,0,2012.0
21,1,4,83000.0,29,430000,24,0,2006.0
22,1,4,64600.0,200,975000,24,0,2007.0
21,1,0,52000.0,179,400000,24,0,2008.0
21,1,0,1.0,46,305000,24,0,1997.0
21,1,4,48000.0,178,450000,24,0,2012.0
21,1,4,50000.0,257,1140000,24,0,2015.0
21,0,4,13300.0,178,680000,24,0,2017.0
22,1,4,74000.0,116,3350000,24,0,2010.0
21,1,4,65000.0,179,405000,24,0,2011.0
21,1,4,4200.0,29,450000,24,0,2006.0
21,1,4,25000.0,100,865000,24,0,2014.0
22,1,4,60000.0,200,1090000,24,0,2010.0
21,0,2,62000.0,179,373000,24,0,2010.0
3,1,4,100000.0,152,320000,24,0,2006.0
22,1,4,250000.0,275,765000,24,0,2000.0
6,1,0,100000.0,66,200000,24,0,1986.0
8,1,4,85575.0,73,1160000,24,0,2010.0
21,1,0,89000.0,29,570000,24,0,2011.0
22,0,2,83000.0,212,2830000,24,0,2015.0
21,1,0,65000.0,100,740000,24,0,2011.0
21,1,4,1.0,29,320000,24,0,2009.0
21,1,4,111000.0,100,750000,24,0,2011.0
21,1,0,60000.0,99,690000,24,0,2009.0
21,1,0,100.0,178,145000,24,0,1991.0
22,1,0,8000000.0,91,900000,24,0,2007.0
22,1,4,11750.0,93,2175000,24,0,2016.0
22,1,0,13700.0,194,105000,24,0,1978.0
8,1,4,12345.0,194,485000,24,0,2007.0
8,1,4,70000.0,80,1350000,5,0,2009.0
6,0,4,67000.0,182,1100000,24,0,2014.0
8,1,4,80000.0,73,1080000,24,0,2010.0
5,1,4,100042.0,220,210000,24,0,1994.0
21,1,0,100000.0,178,170000,24,0,1989.0
22,1,4,118000.0,93,1320000,24,0,2011.0
8,1,4,132000.0,77,1000000,24,0,2007.0
8,1,0,100000.0,72,785000,24,0,2006.0
16,1,0,6000000.0,254,220000,24,0,1991.0
21,1,4,1.0,29,450000,24,0,2007.0
21,1,0,70000.0,100,825000,24,0,2011.0
22,0,2,83000.0,212,2830000,24,0,2015.0
8,1,4,54000.0,287,950000,24,0,2011.0
16,1,4,100000.0,20,930000,24,0,2007.0
8,0,4,80000.0,77,760000,24,0,2003.0
22,1,4,160000.0,275,980000,24,0,2012.0
22,1,4,100000.0,200,855000,24,0,2007.0
21,1,0,80000.0,100,600000,24,0,2009.0
21,1,0,25.0,121,68000,24,0,1986.0
21,1,0,20000.0,100,520000,24,0,2006.0
16,1,4,103400.0,172,500000,24,0,2008.0
8,1,4,17000.0,75,700000,24,0,2004.0
21,1,0,82000.0,99,580000,24,0,2006.0
6,1,4,91000.0,101,350000,24,0,2000.0
21,1,0,100000.0,156,225000,24,0,1996.0
22,1,4,45000.0,91,1625000,24,0,2014.0
21,1,4,86580.0,46,500000,24,0,2007.0
21,1,2,100000.0,156,260000,24,0,1991.0
10,1,0,17.0,211,118000,24,0,1996.0
21,1,4,67000.0,29,535000,24,0,2008.0
21,1,0,13.0,46,168000,24,0,1986.0
8,1,4,200000.0,72,650000,24,0,2005.0
22,1,0,170000.0,194,320000,24,0,1988.0
8,1,4,1234.0,75,95000,24,0,1985.0
6,1,4,186000.0,101,585000,24,0,2010.0
22,1,4,99600.0,89,1525000,24,0,2012.0
9,1,0,88000.0,232,440000,24,0,2006.0
21,1,3,12345.0,61,150000,24,0,1981.0
8,1,2,69000.0,124,1730000,24,0,2013.0
22,1,2,120000.0,212,2000000,24,0,2014.0
8,1,0,1254.0,75,545000,24,0,2001.0
21,1,0,100000.0,29,425000,24,0,2005.0
21,1,0,11111.0,156,170000,24,0,1998.0
21,1,4,70000.0,100,830000,24,0,2012.0
21,1,0,12.0,178,155000,24,0,1994.0
21,1,0,1.0,179,190000,24,0,1992.0
21,1,0,60000.0,156,230000,24,0,1997.0
6,1,0,124.0,101,293000,24,0,2002.0
6,1,4,49000.0,182,1100000,24,0,2013.0
21,1,4,1.0,173,300000,24,0,1993.0
5,1,0,100000.0,220,225000,24,0,1994.0
8,1,4,131389.0,71,930000,24,0,2006.0
21,1,2,786.0,178,310000,24,0,2006.0
21,1,4,116500.0,29,425000,24,0,2006.0
21,0,0,34000.0,29,750000,24,0,2011.0
21,0,4,1.0,99,580000,6,0,2008.0
8,1,0,1160000.0,79,600000,24,0,2001.0
21,1,0,112000.0,99,560000,24,0,2018.0
6,1,0,200000.0,66,130000,24,0,1983.0
22,1,4,30000.0,89,300000,24,1,2012.0
21,1,0,10.0,99,540000,24,0,2005.0
8,1,4,25000.0,39,500000,24,1,2013.0
9,1,4,10010.0,232,330000,24,0,2005.0
21,1,0,110000.0,100,510000,24,0,2000.0
16,1,4,30000.0,104,1450000,24,0,2016.0
22,1,4,97000.0,214,1100000,24,0,2007.0
6,1,0,100000.0,66,130000,24,0,1991.0
22,1,0,786786.0,12,195000,24,0,1986.0
21,1,0,55000.0,29,300000,24,0,2012.0
6,1,4,75000.0,137,690000,24,0,2010.0
21,1,0,1.0,178,165000,24,0,1991.0
8,1,4,100000.0,80,1750000,24,0,2013.0
21,1,0,500000.0,46,490000,24,0,2007.0
6,1,4,20000.0,182,1260000,24,0,2015.0
8,1,4,82500.0,80,1079000,24,0,2007.0
21,1,0,140000.0,100,530000,24,0,2006.0
21,1,0,200000.0,121,90000,24,0,1983.0
6,1,0,1525555.0,66,150000,24,0,1984.0
21,1,4,78000.0,29,550000,24,0,2008.0
21,1,4,33937.0,194,260000,24,0,1993.0
8,1,4,126000.0,72,600000,24,0,2005.0
6,1,0,100000.0,66,245000,24,0,1986.0
21,1,4,96000.0,29,1040000,24,0,2015.0
21,1,0,112000.0,29,580000,24,0,2010.0
22,1,4,60000.0,200,975000,24,0,2008.0
6,1,0,95000.0,101,465000,24,0,2005.0
22,1,2,56000.0,36,1975000,24,0,2014.0
22,1,4,74000.0,227,1600000,24,0,2007.0
6,1,4,80000.0,137,725000,24,0,2015.0
21,1,0,52000.0,121,140000,24,0,1985.0
6,1,4,1234567.0,182,965000,24,0,2014.0
21,1,0,1.0,178,120000,24,0,1989.0
22,1,2,120000.0,212,2000000,24,0,2010.0
16,1,4,44000.0,103,1120000,24,0,2015.0
21,1,4,57000.0,29,960000,24,0,2016.0
6,0,4,29800.0,182,1140000,24,0,2015.0
6,1,0,10000000.0,66,60000,33,0,1984.0
22,0,4,1000.0,200,795000,24,0,2007.0
22,1,0,99000.0,89,1135000,24,0,2009.0
21,1,4,82000.0,100,785000,24,0,2012.0
21,1,0,1.0,46,365000,24,0,1997.0
21,1,4,100000.0,117,960000,24,0,2014.0
6,1,4,1.0,194,200000,24,0,1986.0
22,1,4,120000.0,91,800000,24,0,2006.0
21,1,0,77000.0,29,405000,24,0,2004.0
6,0,4,38000.0,182,1250000,24,0,2014.0
21,1,0,95410.0,100,695000,24,0,2012.0
21,1,0,82000.0,29,535000,24,0,2008.0
21,1,0,100000.0,29,465000,24,0,2007.0
21,1,0,12500.0,165,600000,24,0,2008.0
6,1,4,22500.0,182,1250000,24,0,2016.0
21,1,4,100000.0,29,450000,24,0,2007.0
22,1,4,150000.0,93,1550000,24,0,2011.0
21,1,4,44000.0,100,860000,24,0,2013.0
22,1,0,270000.0,91,950000,24,0,2006.0
21,0,4,68500.0,257,1165000,24,0,2011.0
22,0,4,35000.0,208,7550000,24,0,2013.0
21,1,0,10.0,29,510000,24,0,2005.0
21,1,0,74000.0,257,215000,24,0,1989.0
22,0,4,36000.0,31,1650000,24,0,2015.0
21,1,0,48000.0,99,570000,24,0,2006.0
8,0,0,153000.0,75,450000,24,0,1998.0
22,1,4,76000.0,275,1060000,24,0,2009.0
9,1,0,100000.0,232,500000,24,0,2001.0
16,1,4,15000.0,103,1200000,24,0,2015.0
21,1,0,1515151.0,178,315000,24,0,2008.0
22,0,0,105000.0,86,1125000,24,0,2002.0
22,1,4,26000.0,89,1810000,24,0,2016.0
8,1,4,1234.0,75,380000,24,0,1999.0
21,1,4,52000.0,178,280000,24,0,1998.0
22,0,2,42850.0,31,1900000,24,0,2015.0
6,0,4,35000.0,182,1250000,24,0,2013.0
22,1,4,1234.0,235,575000,24,0,1990.0
8,1,4,44000.0,80,1660000,24,0,2012.0
21,1,4,87000.0,100,660000,24,0,2009.0
8,1,0,100000.0,72,775000,24,0,2006.0
21,1,4,80000.0,61,825000,24,0,2012.0
6,1,4,88000.0,137,810000,24,0,2012.0
22,1,4,1.0,275,850000,24,0,2009.0
15,1,0,100000.0,162,750000,24,0,2005.0
21,1,0,100000.0,121,120000,24,0,1988.0
6,0,4,60000.0,182,920000,24,0,2014.0
8,0,4,139000.0,24,625000,24,0,2010.0
8,0,4,69000.0,80,1850000,24,0,2014.0
6,1,0,545.0,101,320000,24,0,2000.0
21,0,4,19800.0,99,1400000,24,0,2018.0
21,1,4,69000.0,46,290000,2,0,1994.0
21,1,0,123.0,46,330000,24,0,1997.0
17,1,4,69000.0,194,685000,24,0,2006.0
22,1,4,150000.0,90,565000,24,0,1992.0
16,1,4,44400.0,185,1220000,24,0,2014.0
6,0,4,28000.0,182,1170000,24,0,2017.0
21,1,4,90000.0,178,140000,24,0,2006.0
22,1,4,74516.0,89,1315000,24,0,2011.0
21,1,0,200000.0,156,200000,24,0,1992.0
21,1,4,333333.0,156,235000,24,0,1989.0
21,1,0,89300.0,29,534999,24,0,2010.0
21,1,4,71000.0,29,520000,24,0,2008.0
21,1,4,78000.0,100,770000,24,0,2012.0
21,1,4,1234.0,179,260000,24,0,1993.0
21,1,0,100000.0,156,240000,24,0,1995.0
21,1,4,750000.0,117,820000,24,0,2010.0
21,0,0,97500.0,156,360000,24,0,1997.0
21,1,4,30000.0,100,575000,29,0,2007.0
10,0,0,198000.0,211,250000,24,0,1996.0
21,1,0,1000.0,173,285000,24,0,1997.0
22,0,2,30500.0,31,1865000,24,0,2014.0
21,1,0,1.0,46,350000,24,0,1997.0
21,1,4,1.0,40,425000,24,0,2003.0
8,1,4,44000.0,73,1425000,24,0,2013.0
14,0,4,32999.0,240,1865000,24,0,2015.0
22,0,4,11000.0,91,1830000,24,0,2017.0
21,0,0,70000.0,100,680000,24,0,2010.0
16,1,4,90026.0,172,680000,24,0,2006.0
6,1,4,43500.0,182,1100000,24,0,2014.0
8,1,0,146000.0,78,850000,24,0,2005.0
22,1,4,53001.0,91,1575000,24,0,2014.0
17,0,4,1.0,194,635000,24,0,2008.0
21,1,4,42500.0,277,1025000,24,0,2016.0
22,1,4,1020000.0,89,1080000,24,0,2008.0
16,1,4,9999.0,254,500000,24,0,1998.0
13,1,4,78000.0,105,812000,24,0,2007.0
22,0,4,81000.0,91,1185000,24,0,2009.0
21,0,0,75000.0,46,490000,24,0,2008.0
21,1,0,88000.0,29,500000,24,0,2009.0
21,1,0,100000.0,179,290000,24,0,2007.0
22,1,4,125000.0,92,240000,24,0,1973.0
22,1,4,21000.0,200,1560000,24,0,2015.0
6,1,0,100000.0,66,255000,24,0,1987.0
21,1,0,60000.0,100,665000,24,0,2011.0
22,1,4,78500.0,275,1100000,24,0,2009.0
15,1,0,170000.0,162,400000,24,0,1997.0
21,1,4,31258.0,179,580000,24,0,2014.0
8,1,4,1.0,80,750000,24,0,2004.0
21,1,0,185252.0,29,380000,24,0,2006.0
22,1,2,86000.0,31,1800000,24,0,2014.0
22,1,0,152400.0,89,600000,24,0,1998.0
21,1,4,28000.0,29,1215000,24,0,2014.0
21,0,4,98525.0,118,1320000,24,0,2012.0
6,1,4,113000.0,101,555000,24,0,2005.0
21,1,0,88.0,178,160000,24,0,1991.0
21,1,4,60000.0,29,635000,24,0,2012.0
